"","P_cor"
"NFE2","0.0841052486579476"
"NFKB1","0.0731437004973011"
"NFYA","0.323464878874247"
"NFYB","0.0946219480846874"
"NR2C2","0.303389596137357"
"NR3C1","0"
"NRF1","0.302725641899927"
"PAX5","0.0300543200822056"
"PBX3","0.0291690323980436"
"POLR3A","0.173879432402253"
"POU2F2","0.0188727344162807"
"POU5F1","0.167352267144506"
"PPARGC1A","0.465500042445069"
"PRDM1","0.183964992292994"
"RAD21","0.41632308445654"
"REST","0"
"RFX5","0.491218411421378"
"RXRA","0.264707259343165"
"SETDB1","0.385469401915765"
"SIN3A","0.091794786347555"
"SIRT6","0.334385110013658"
"SIX5","0.0202220518440483"
"SMARCA4","0.436364218021667"
"SMARCB1","0.331860191702384"
"SMARCC1","0.352130079712802"
"SMARCC2","0.263712441538496"
"SMC3","0.115873850644241"
"SP2","0.304921146310082"
"SPI1","0.209148781259829"
"SREBF1","0.274556909057652"
"SREBF2","0.102836445000521"
"SRF","0"
"STAT1","0"
"STAT2","0.148517600240672"
"STAT3","0.0186297937731372"
"SUZ12","0"
"TAF1","0.23330060670918"
"TAF7","0.208429200219492"
"TAL1","0"
"TBP","0.149325183609822"
"TCF12","0.0166455782801918"
"TCF4","0"
"TFAP2A","0"
"TFAP2C","0.0187672970378795"
"THAP1","0.0797699181506401"
"TRIM28","0"
"USF1","0.389630131658737"
"USF2","0.153679863626736"
"WRNIP1","0.367433447345315"
"XRCC4","0.368523981209024"
"YY1","0.354377533892272"
"ZBTB33","0.0078836530429009"
"ZBTB7A","0.0941705625394575"
"ZEB1","0"
"ZNF143","0.0602467054735333"
"ZNF263","0.264798953579032"
"ZNF274","0.197100227224373"
"ZZZ3","0.153596298686485"
