"","Ridge"
"GSK3B","0"
"HES1","0"
"HES5","0"
"HEY1","0"
"HEY2","0.484509632179688"
"HEYL","0.522875158624309"
"HRAS","0"
"IGF1R","0"
"IGF1","0"
"JAG1","0"
"JAG2","0.528565149870267"
"JUN","0.481317366199001"
"KIT","0.563699124414208"
"LEF1","0.496399059224413"
"LRP5","0"
"LRP6","0"
"MAP2K1","0"
"MAP2K2","0"
"MAPK1","0"
"MAPK3","0"
"MTOR","0"
"MYC","0.476353150309269"
"NCOA1","0"
"NCOA3","0"
"NFKB2","0"
"NOTCH1","0"
"NOTCH2","0"
"NOTCH3","0"
"NOTCH4","0.371717910143975"
"NRAS","0"
"PGR","0"
"PIK3CB","0"
"PIK3CD","0"
"PIK3R1","0.526006857421744"
"PIK3R2","0.453462620738435"
"PIK3R3","0.456525414547119"
"POLK","0"
"RAF1","0"
"RB1","0"
"RPS6KB1","0"
"RPS6KB2","0"
"SHC1","0.384465617330762"
"SHC2","0"
"SHC3","0"
"SHC4","0"
"SOS1","0"
"SOS2","0"
"SP1","0"
"TCF7L1","0.43696370257213"
"TCF7L2","0.416727677797156"
"TCF7","0.412751895935091"
"TNFSF11","0"
"WNT10A","0"
"WNT10B","0"
"WNT11","0"
"WNT16","0"
"WNT1","0"
"WNT2B","0"
"WNT2","0.372261299765436"
"WNT3A","0"
"WNT3","0"
"WNT4","0"
"WNT5A","0"
"WNT5B","0.431207468900374"
"WNT6","0"
"WNT7A","0"
"WNT7B","0"
"WNT8A","0"
"WNT8B","0"
"WNT9A","0"
"WNT9B","0"
"ATF3","0.449723172116443"
"BATF","0"
"BCL11A","0"
"BCL3","0.455703646059437"
"BCLAF1","0"
"BDP1","0"
"BHLHE40","0"
"BRF1","0"
"BRF2","0"
"CCNT2","0"
"CEBPB","0"
"CHD2","0"
"CTBP2","0"
"CTCFL","0"
"CTCF","0"
"E2F4","0"
"E2F6","0"
"EBF1","0.396990941792675"
"EGR1","0.437557145638059"
"ELF1","0"
"ELK4","0"
"EP300","0"
"ESRRA","0"
"ETS1","0"
"FOSL1","0"
"FOSL2","0"
"FOXA1","0"
"FOXA2","0"
"GABPA","0"
"GATA1","0"
"GATA2","0"
"GATA3","0"
"GTF2B","0"
"GTF2F1","0"
"HDAC2","0"
"HMGN3","0.401565918027791"
"HNF4A","0"
"HNF4G","0"
"HSF1","0"
"IRF1","0"
"IRF3","0"
"IRF4","0"
"JUND","0"
"KAT2A","0"
"MAFF","0.478032442533081"
"MAFK","0"
"MAX","0"
"MEF2A","0"
"MEF2C","0"
"MXI1","0.508750360693794"
"NANOG","0"
"NFE2","0"
"NFKB1","0"
"NFYA","0"
"NFYB","0"
"NR2C2","0"
"NR3C1","0.478483815916012"
"NRF1","0.373964100257935"
"PAX5","0"
"PBX3","0"
"POLR3A","0"
"POU2F2","0"
"POU5F1","0"
"PPARGC1A","0.419041495379921"
"PRDM1","0"
"RAD21","0"
"REST","0"
"RFX5","0.44322233641221"
"RXRA","0"
"SETDB1","0"
"SIN3A","0"
"SIRT6","0"
"SIX5","0"
"SMARCA4","0"
"SMARCB1","0"
"SMARCC1","0"
"SMARCC2","0"
"SMC3","0"
"SP2","0.396510422222709"
"SPI1","0"
"SREBF1","0"
"SREBF2","0"
"SRF","0.373853205443699"
"STAT1","0.397665125109861"
"STAT2","0"
"STAT3","0"
"SUZ12","0"
"TAF1","0"
"TAF7","0"
"TAL1","0.416315883828074"
"TBP","0"
"TCF12","0"
"TCF4","0"
"TFAP2A","0"
"TFAP2C","0"
"THAP1","0"
"TRIM28","0"
"USF1","0.398041885083722"
"USF2","0"
"WRNIP1","0"
"XRCC4","0.373976122482581"
"YY1","0"
"ZBTB33","0"
"ZBTB7A","0"
"ZEB1","0"
"ZNF143","0"
"ZNF263","0"
"ZNF274","0"
"ZZZ3","0"
